dyad,partner,age,sex,native_language,closeness,pes,p_self,d_self,p_other,d_other,p_other_mot,d_other_mot
193,1,2,female,German,4,2.88888888888889,5.25,4.5,5.5,4.75,5.5,4.5
193,2,2,female,German,5,2.11111111111111,4.5,2.5,5.5,1.25,5.5,1.25
194,1,3,female,German,3,2,4.5,1,4.25,1,6.25,2.25
194,2,3,female,German,4,4.22222222222222,4,2,7,4.25,4.75,1.75
195,1,2,female,German,4,1.88888888888889,6.25,1.25,4.5,1,6.5,1
195,2,2,male,German,5,2,2.5,2.75,4.5,2.75,6.5,2
196,1,1,female,German,5,4.44444444444444,6.25,1.5,7,4,6.25,1.5
196,2,1,female,German,4,2.55555555555556,5.75,2,6.75,2.25,7,2.75
197,1,1,female,German,4,2,5.25,1.5,5.25,1,7,1.75
197,2,1,female,German,3,2.77777777777778,2.75,2.5,4.5,4.25,6.25,4.25
200,2,3,female,German,5,1.77777777777778,4,1.75,4.75,1.25,5,1.5
200,1,3,female,German,5,3,3.5,1.5,5.5,1.25,5.25,1.25
201,1,3,female,German,4,3.66666666666667,5,1.25,6,1.25,6.5,1.25
201,2,2,female,German,4,3.11111111111111,5,2.5,6,1.5,6,1.5
205,2,3,female,Other,5,4.55555555555556,5.5,3.75,5.25,2.25,6.25,3
205,1,3,female,German,5,3,3.25,2,4.25,2.5,6,2.75
204,1,1,female,German,3,4,4,4.5,4.5,4.25,5.5,3.75
204,2,1,female,German,3,3,5.25,3,4,1.75,5.75,2.25
206,1,2,female,German,4,1.55555555555556,4,1,7,1,7,1.25
206,2,2,female,German,5,3.33333333333333,4.5,2.5,6,3.25,6.25,3.75
207,2,2,female,German,4,2,4,1.75,4.25,1,3.75,1.5
208,1,2,female,German,3,1.33333333333333,3.25,1.25,5.5,1.25,5.75,1
207,1,1,female,German,4,2.66666666666667,2.75,2,5,1.5,5.25,2.75
208,2,2,female,Other,3,3.55555555555556,2,2,4,4,5.5,3.25
209,1,3,female,German,5,3.22222222222222,4.25,3.25,6,1.25,6.5,3
209,2,3,female,German,5,1.11111111111111,4,1,6,1,5.75,1
210,1,2,male,German,4,2.55555555555556,4,2,4,2,4.5,2.25
210,2,2,male,German,4,3.44444444444444,5.75,3.5,5.75,2.25,5,2.25
211,1,1,male,German,4,3.77777777777778,3.5,2.75,4,5.5,4.75,5.5
211,2,1,female,German,4,4.11111111111111,4,3.5,4.25,2.25,6.5,3
212,2,3,female,German,4,2.77777777777778,5,2.5,4.5,2,5,2
212,1,3,female,German,3,4.33333333333333,4.5,3.25,4,4,4,4
