dyad,age_1,age_2,closeness_1,closeness_2,d_other_1,d_other_2,d_self_1,d_self_2,native_language_1,native_language_2,p_other_1,p_other_2,p_self_1,p_self_2,pes_1,pes_2,sex_1,sex_2,gender_comp
69,1,1,5,5,1.8,4,2.2,3.8,1,1,3.8,4.8,3.6,3.8,3.88888888888889,3.88888888888889,1,1,same-gender male
70,3,3,5,4,2,3.4,2,2.8,1,1,2.8,3.2,3.2,3,2.44444444444444,5.11111111111111,1,2,mixed
71,1,1,4,4,1.6,1.4,2.4,2,1,1,3.4,3.4,3.2,3.8,2.11111111111111,3.33333333333333,2,1,mixed
72,1,2,4,4,3,2.2,2.4,2,1,1,3.8,4.4,3.8,3.6,3.22222222222222,3.77777777777778,1,1,same-gender male
73,1,1,4,3,2.8,1.6,3.8,1.6,1,1,4.4,3.4,5.2,4,3.88888888888889,3.22222222222222,1,2,mixed
74,2,3,5,5,1.2,3.2,1.4,3.4,1,1,3.6,4.4,3.2,3.2,3.88888888888889,3.55555555555556,2,2,same-gender female
75,3,2,4,4,1.6,1.2,1.6,1.8,2,1,4.4,3.2,3.2,3.6,2.11111111111111,4,2,2,same-gender female
76,1,1,4,4,3.4,1,2,1.4,1,1,3.2,3.2,3.6,3.6,3,4.77777777777778,2,2,same-gender female
77,3,3,5,4,2.4,1.4,2.4,1.2,1,1,5.6,4,5.2,3.8,2.22222222222222,1.88888888888889,2,1,mixed
78,3,3,4,5,2.2,1.4,2.2,1.8,1,1,3.6,3,3.2,2.6,1.88888888888889,1.88888888888889,1,2,mixed
79,3,3,5,5,1.8,2,2.6,2.6,1,1,3,3.6,4.4,3.2,4.77777777777778,5.22222222222222,1,2,mixed
80,1,1,5,5,3,1.8,2.8,1.6,1,1,4,4.2,4.8,3.8,2,2.66666666666667,1,2,mixed
81,2,2,4,4,3.2,2.4,2.8,2.4,1,1,2.8,2.6,2.8,3,4.44444444444444,4.22222222222222,1,1,same-gender male
82,3,3,3,3,2.6,2.4,1.8,2.8,1,1,3.8,3.8,3.6,3.6,4,4,1,2,mixed
83,2,2,4,4,1.4,1.8,2,1.8,1,1,4.2,4,4.2,3.6,4.22222222222222,2.88888888888889,2,1,mixed
84,3,3,4,4,1.2,1.2,1.6,1.4,1,1,3.4,3,3,3,4.11111111111111,1.66666666666667,2,2,same-gender female
85,3,3,4,5,2.4,1.4,2.8,2,1,1,3.8,3,2.8,3.2,3.11111111111111,1.77777777777778,1,2,mixed
86,2,2,3,3,1.2,2,1.4,2.6,1,1,3.8,4.4,4,3.6,2.33333333333333,3.88888888888889,2,2,same-gender female
87,3,3,4,4,2.8,1.4,3,1.6,1,1,3.6,3.6,3.6,3,5.33333333333333,3.22222222222222,2,2,same-gender female
88,3,3,4,4,1.8,1.2,1.8,1.2,1,1,2.8,4.8,2.4,3.6,2,3.44444444444444,2,2,same-gender female
89,3,2,5,4,1.6,1.4,1.6,2,1,1,3,3.2,2.6,3.2,3.55555555555556,3.44444444444444,2,2,same-gender female
90,3,2,5,5,2.4,2.6,2.4,1.8,1,1,4,4.4,3.6,3.4,5.33333333333333,3.11111111111111,2,2,same-gender female
91,1,2,5,5,2.2,2.2,2.8,2,1,1,2.8,3.8,3.2,3.4,2.88888888888889,3.33333333333333,2,1,mixed
92,2,2,4,4,2.6,2.6,2.4,2.4,1,1,4,3.2,3.6,4.8,3.33333333333333,5.11111111111111,1,1,same-gender male
93,2,2,3,3,2,1.4,2.2,2.2,1,1,3.2,2.4,3,4.4,2.77777777777778,4.66666666666667,2,2,same-gender female
94,2,1,4,4,1.2,1.4,1,2.4,1,1,4.2,4.2,3.6,5,3.44444444444444,3.55555555555556,2,2,same-gender female
95,3,3,4,4,1.8,2.8,1.4,1.8,1,1,3.8,3.6,2.2,3.4,1.88888888888889,3,2,2,same-gender female
96,3,3,4,4,2.4,3.2,2.4,2.6,1,1,3,3,3,3,3.44444444444444,2.77777777777778,2,2,same-gender female
